study,claim_id,component_id,language,outcome,map_number,seed,estimate,analysis_unit,outcome_scale
cross_run_transfer,co_trained_and_cross_run_equivalence,german_co_trained_minus_same_language_other_run,german,step_zero,,90,0.135398927724422,base_seed,raw
cross_run_transfer,co_trained_and_cross_run_equivalence,german_co_trained_minus_same_language_other_run,german,step_zero,,91,0.0792398796410876,base_seed,raw
cross_run_transfer,co_trained_and_cross_run_equivalence,german_co_trained_minus_same_language_other_run,german,step_zero,,92,0.100643792407491,base_seed,raw
cross_run_transfer,co_trained_and_cross_run_equivalence,german_co_trained_minus_same_language_other_run,german,step_zero,,93,0.0038371424316037,base_seed,raw
cross_run_transfer,co_trained_and_cross_run_equivalence,german_co_trained_minus_same_language_other_run,german,step_zero,,94,0.06173645116162,base_seed,raw
cross_run_transfer,co_trained_and_cross_run_equivalence,german_co_trained_minus_same_language_other_run,german,step_zero,,95,0.0456631435547949,base_seed,raw
cross_run_transfer,co_trained_and_cross_run_equivalence,german_co_trained_minus_same_language_other_run,german,step_zero,,96,0.123628484747506,base_seed,raw
cross_run_transfer,co_trained_and_cross_run_equivalence,german_co_trained_minus_same_language_other_run,german,step_zero,,97,0.0920877212674094,base_seed,raw
cross_run_transfer,co_trained_and_cross_run_equivalence,german_co_trained_minus_same_language_other_run,german,step_zero,,98,0.155270397317723,base_seed,raw
cross_run_transfer,co_trained_and_cross_run_equivalence,german_co_trained_minus_same_language_other_run,german,step_zero,,99,0.0346038642525356,base_seed,raw
cross_run_transfer,co_trained_and_cross_run_equivalence,german_co_trained_minus_same_language_other_run,german,step_zero,,100,0.026384367123987,base_seed,raw
cross_run_transfer,co_trained_and_cross_run_equivalence,german_co_trained_minus_same_language_other_run,german,step_zero,,101,0.0654915128592497,base_seed,raw
cross_run_transfer,co_trained_and_cross_run_equivalence,german_co_trained_minus_same_language_other_run,german,learning_curve_auc,,90,0.45299678435244,base_seed,raw
cross_run_transfer,co_trained_and_cross_run_equivalence,german_co_trained_minus_same_language_other_run,german,learning_curve_auc,,91,0.261558249692078,base_seed,raw
cross_run_transfer,co_trained_and_cross_run_equivalence,german_co_trained_minus_same_language_other_run,german,learning_curve_auc,,92,0.416690959013232,base_seed,raw
